n,param,mean,bias,mse,sd
30,alpha,2.504210640299587,1.0042106402995872,1.908282019441931,0.9509809848354573
30,lambda,2.860450247095804,2.0604502470958037,4.550064784963406,0.5532994356891344
30,theta,2.709645942708572,1.5096459427085722,2.6861042436165814,0.6396240818720638
50,alpha,2.4718403980903916,0.9718403980903916,1.5579600580316662,0.7852191696546519
50,lambda,2.8937361786273343,2.093736178627334,4.585851728306169,0.450706360873499
50,theta,2.7440417349796253,1.5440417349796254,2.6525841815683946,0.5194888309065806
100,alpha,2.351046288574172,0.8510462885741719,0.9072101064448099,0.42877682889109936
100,lambda,2.8687806262578137,2.068780626257814,4.370542230661566,0.30190176291993426
100,theta,2.712031502763146,1.512031502763146,2.4046973544220474,0.3450410929920321
200,alpha,2.35319133671713,0.85319133671713,0.839188072330831,0.33438252593387335
200,lambda,2.851590378114517,2.0515903781145166,4.25731301493769,0.22030115378138773
200,theta,2.6963965698667067,1.4963965698667068,2.3036524962467384,0.2545067195367134
